source	almaMmsId	hbzId	zdbId
mapping	990059107160206441	HT000978892	
mapping	990068361930206441	HT007095211	
mapping	990048385880206441	HT002199590	
mapping	990156448030206441	HT015051028	
mapping	990010589890206441	HT002867176	
mapping	990003182700206441	HT000362594	
mapping	990027209270206441	HT007163135	
mapping	990207740190206441	HT018616137	
mapping	990018927030206441	HT004687670	
mapping	990020787490206441	HT005146428	
mapping	990020930350206441	HT005161950	
mapping	990092832630206441	HT010299256	
mapping	990003516380206441	HT000400876	
mapping	990052678780206441	HT001244933	
mapping	990052733310206441	HT001251355	
mapping	990052866010206441	HT001266477	
mapping	990052676240206441	HT001244649	
mapping	990052943140206441	HT002160886	
mapping	990118506850206441	HT013526929	
mapping	990052221600206441	HT010760731	
mapping	990052849090206441	HT001264472	
mapping	990113297480206441	HT013002781	
mapping	990110301070206441	HT012879358	
mapping	990062729930206441	HT003056090	
mapping	990052648450206441	HT001240927	
mapping	990052773760206441	HT001256038	
mapping	990060792950206441	HT001195932	
mapping	990005656430206441	HT000644890	
mapping	990114923710206441	HT013166427	
mapping	99370969595706441	HT021076657	
mapping	990110562350206441	BT000008737	
mapping	990036323480206441	HT008981074	
mapping	990193323910206441	HT017420928	
mapping	990193010020206441	HT017390210	
mapping	990197816060206441	HT017721278	
mapping	990053093200206441	HT003542987	
mapping	990112187650206441	BT000172862	
mapping	990049286940206441	HT004576961	
mapping	990058871820206441	HT000947375	
mapping	990110549950206441	BT000007482	
mapping	990109310820206441	HT012779167	
mapping	990110840520206441	BT000037468	
mapping	990017381610206441	HT004403022	
mapping	990124417190206441	HT013893507	
mapping	990210341110206441	HT018863067	
mapping	99372032339206441	HT021876449	
mapping	990077715760206441	HT001882495	
mapping	990182071180206441	HT016507975	
mapping	990207735740206441	HT018615692	
mapping	990085093530206441	HT007813627	
mapping	990223821920206441	HT019661644	
mapping	990181209350206441	HT016427260	
mapping	990182070980206441	HT016507956	
mapping	990007366970206441	HT000838024	
mapping	990365572720206441	HT020364603	
mapping	990111069900206441	BT000060418	
mapping	990111591290206441	BT000112617	
mapping	990112187660206441	BT000172863	
mapping	99371774667106441	HT021599968	
mapping	990178571320206441	HT016239619	
mapping	990187184200206441	HT016829445	
mapping	990193025190206441	HT017391727	
mapping	990115955740206441	HT013270536	
mapping	990118305980206441	HT013506599	
mapping	990020460410206441	HT005111898	
mapping	990159322130206441	HT015224557	
mapping	990049062370206441	HT004103226	
mapping	990052866910206441	HT001266597	
mapping	990111076730206441	BT000061102	
mapping	990111480980206441	BT000101565	
mapping	990111971360206441	BT000150955	
mapping	990001516820206441	HT000173451	
mapping	990080931330206441	HT004332573	
mapping	990076409070206441	HT001503308	
mapping	990187543500206441	HT016864616	
mapping	990090837000206441	HT011068484	
mapping	990220389380206441	HT019532784	
mapping	990224123820206441	HT019691659	
mapping	990053598740206441	HT007824784	
mapping	990224144270206441	HT019693693	
mapping	99371022458106441	HT021122162	
mapping	990188286850206441	HT016937549	
mapping	990191751580206441	HT017269394	
mapping	990041864280206441	HT010042084	
mapping	990115948870206441	HT013269844	
mapping	990110872250206441	BT000040641	
mapping	990111314670206441	BT000084918	
mapping	990111881650206441	BT000141847	
mapping	990225546590206441	HT019747051	
mapping	990367218010206441	HT020528810	
mapping	990014953330206441	HT003890647	
mapping	99372477763806441	HT030016546	
mapping	99373848379106441	HT030708588	
mapping	990048626590206441	HT003033531	
mapping	990111636350206441	BT000117123	
mapping	990110974770206441	BT000050901	
mapping	990064312330206441	HT003962302	
mapping	990052740280206441	HT001252154	
mapping	990111882370206441	BT000141923	
mapping	990114593090206441	HT013133090	
mapping	990121237510206441	HT013803310	
mapping	990110593480206441	BT000011902	
mapping	990366200400206441	HT020427242	
mapping	990063256160206441	HT003366725	
mapping	990193366940206441	HT017425247	
mapping	990079363290206441	HT003085893	
mapping	990114853810206441	HT013159377	
mapping	990052600790206441	HT001235401	
mapping	990052621840206441	HT001237908	
mapping	990060172510206441	HT001119385	
mapping	990056536120206441	HT008815425	1329416-7
mapping	990011714610206441	HT003172216	
mapping	990018108540206441	HT004557881	
mapping	990009755240206441	HT002728527	
mapping	99373333769606441	HT030599169	
mapping	990052608020206441	HT001236259	
mapping	990227156440206441	HT019907927	
mapping	990059693190206441	HT001055387	
mapping	990052793590206441	HT001258220	
mapping	990052730570206441	HT001251036	
mapping	990227565550206441	HT019948436	
mapping	990206686230206441	HT018526774	
mapping	990227983980206441	HT019990125	
mapping	990218067760206441	HT019305134	
mapping	99370944056006441	HT021053850	
mapping	990109131220206441	HT012761005	
mapping	990111405340206441	BT000093995	
mapping	990112087670206441	BT000162750	
mapping	990011110890206441	HT003017320	
mapping	990220058920206441	HT019499704	
mapping	990224121140206441	HT019691504	
mapping	990228327550206441	HT020024315	
mapping	990368156060206441	HT020622229	
mapping	990133892720206441	HT014259519	
mapping	990366054060206441	HT020412515	
mapping	990110642080206441	BT000017047	
mapping	990112093230206441	BT000163315	
mapping	990182073510206441	HT016508212	
mapping	990366202010206441	HT020427404	
mapping	990002888700206441	HT000329223	
mapping	990071466530206441	HT009016980	
